wma,sma,final_eq,cagr,max_dd,sharpe,trades,score
5,100,1329318.6213344138,10.37169693815736,-71.80825644867255,0.48069820144605435,101,0.14443599456520562
5,125,1717643.3477715948,11.455909186469547,-67.31417997661646,0.511619259945432,95,0.170185675446824
5,150,4083374.172157036,15.198776065519093,-60.106706070117596,0.6139620081006193,73,0.2528632337261824
5,175,7439598.20925217,17.865057348775302,-45.80020082885527,0.6881991829218868,71,0.3900650439401539
5,200,11067358.317756766,19.664242628973728,-40.02711622427728,0.7466236659481547,47,0.49127302898346087
5,225,10584739.291991392,19.460909734079834,-46.650910259279,0.7237570502734308,50,0.4171603431941396
5,250,11737581.855850397,19.93290285093263,-45.92029916058238,0.7416540966256433,42,0.4340760669094873
10,100,1875275.9036199385,11.82979927424428,-70.25978624765821,0.5166889757414018,85,0.16837226393694832
10,125,2396320.1261652065,12.880498117447026,-60.192950540173484,0.5521680648417335,71,0.21398682074656616
10,150,7052848.363373922,17.62530071308237,-48.199052217238844,0.6792803204052147,63,0.36567732978737943
10,175,4281500.253009091,15.407148317618224,-47.78572103514052,0.6237827963065553,55,0.32242159339372867
10,200,6615479.033750172,17.3384288565559,-46.65091025927901,0.6630641640251139,46,0.37166324858810734
10,225,4659529.010702554,15.780197486603974,-45.92029916058238,0.6306388804211871,40,0.3436431768752406
10,250,12122715.254140293,20.080682595817834,-47.571763073454164,0.739207077736043,30,0.42211348284089956
15,100,2368632.1235827585,12.830472010239768,-71.74832009188185,0.5447413370822327,71,0.17882609646900297
15,125,3974442.242083111,15.080028612215557,-58.299033007620395,0.6118636010910937,63,0.2586668737754949
15,150,5186684.755696882,16.254487026417983,-49.870630123172944,0.6418066064218433,61,0.325933058922092
15,175,6292428.745089082,17.114573889867213,-48.89829261053722,0.6580214553308368,47,0.350003506792774
15,200,7277716.858242671,17.766196415914838,-46.650910259279,0.6775317764785881,42,0.38083279226863725
15,225,11242680.062271066,19.736001412717343,-47.571763073454164,0.7312213114400592,36,0.41486798339266007
15,250,10775962.664151859,19.542520463295766,-47.571763073454164,0.7217880855686105,32,0.41080084488608787
20,100,2316037.6006562454,12.733876640469033,-70.25006379399517,0.5431822391607704,67,0.18126498330037813
20,125,4596833.151437083,15.720388928123995,-56.60880315276754,0.6273578098330256,57,0.2777021956408461
20,150,5259591.405746612,16.31639892417627,-54.537319936408714,0.6464211013490117,57,0.29917859812696007
20,175,7392502.85193963,17.83651133718156,-46.65091025927901,0.6811138648303803,42,0.38234004948775513
20,200,10252478.469461938,19.315673832467972,-45.920299160582374,0.7320388450394636,36,0.42063475599149397
20,225,12187045.796389278,20.104925832595733,-47.57176307345417,0.7422770728617126,30,0.42262309684743665
20,250,12871218.619652811,20.355405313790786,-47.571763073454164,0.7446875622303067,28,0.4278883942636434
25,100,1722169.6698053053,11.46709768588654,-70.78470189975263,0.5071095523870279,67,0.1619996606346747
25,125,4302759.982495764,15.42895379330449,-57.68913199198457,0.6205806268630168,53,0.2674499209911534
25,150,4875917.565007645,15.980835958998796,-53.67154518006691,0.6322513265532242,49,0.2977524851461501
25,175,5999702.552812964,16.90197105952933,-45.92029916058237,0.6561644513109698,36,0.3680718847327949
25,200,7236115.850434576,17.740449087051214,-47.571763073454164,0.6984121085702643,32,0.37291973096853076
25,225,9565537.880201418,19.00046940069402,-47.57176307345417,0.7304225138525523,26,0.3994064582251439
25,250,11200844.689424962,19.71897657270243,-47.571763073454164,0.7268670973760236,28,0.4145101063892658
30,100,1773290.9375691006,11.591535750958615,-70.2670504988831,0.5101029925085044,65,0.16496402892480685
30,125,3925132.329964849,15.025242710665076,-58.50820874543987,0.6075406923672616,51,0.25680572064746626
30,150,5229144.402654146,16.29064451618405,-56.04799417463882,0.6379036035677949,48,0.2906552635126309
30,175,8650397.88018641,18.544900625970094,-43.93625522778284,0.7078874642816375,34,0.42208650987267876
30,200,6388140.290652949,17.182027608767147,-47.57176307345417,0.6823308525390813,30,0.3611812238751143
30,225,8981429.407476095,18.71482399309079,-47.571763073454164,0.7228471250039099,26,0.3934019423285569
30,250,12313976.176730799,20.152401162301192,-50.69443064070479,0.7331149422587537,28,0.39752692569191106
40,100,2569659.993073949,13.181593105805378,-72.58646628665187,0.5539587688303667,57,0.1815984959751289
40,125,4302477.139414857,15.428664370321666,-61.020096046132366,0.6183470967372642,47,0.2528456257862541
40,150,8189156.306267952,18.297402620581128,-50.67547366409381,0.7018212546035042,42,0.3610701844025542
40,175,6629010.025248548,17.34757394349309,-42.94449529167528,0.688231201721858,32,0.403953378091182
40,200,8007199.064546508,18.19605920926657,-47.571763073454164,0.7052009517152531,28,0.38249705358135594
40,225,10183461.456192762,19.284938293492026,-47.571763073454164,0.7372247429123339,26,0.4053862427531794
40,250,11019616.0903739,19.644512414828476,-50.69443064070479,0.7242775694805774,24,0.3875082956165018
50,100,3997117.380667595,15.105002777795917,-55.00240553336423,0.6136971165484861,51,0.27462440290240187
50,125,7371842.36620697,17.823933111024882,-53.74674414923436,0.6952937651567673,38,0.33162814591214246
50,150,11275150.872174,19.749173408673258,-44.431514225519926,0.7393108611436229,38,0.4444857158914925
50,175,7430214.683574773,17.8593835843216,-42.94449529167527,0.6978400631834616,26,0.4158713116319617
50,200,9996241.609734155,19.20054312425743,-47.571763073454164,0.7345969551757977,22,0.40361218260106174
50,225,8192861.703589059,18.29944380587363,-47.571763073454164,0.70912246198169,24,0.38467028807862336
50,250,4317898.731805539,15.444418081123201,-50.69443064070479,0.636624489472948,22,0.30465709715895695
