wma,sma,final_eq,cagr,max_dd,sharpe,trades,score
5,100,195833.1843363166,2.630880832703686,-65.77092011523014,0.2379908671194862,49,0.0400006694158209
5,125,211498.50577730447,2.9364994531935196,-66.50979667152691,0.24934751345583903,45,0.04415138220458048
5,150,304742.39337288524,4.399508397405971,-61.01525726251611,0.29448871859714604,41,0.07210505363399901
5,175,191413.1824277434,2.540392818242454,-59.30466026468528,0.23126640755984093,41,0.04283631011297111
5,200,306904.6161270691,4.428032351170774,-64.99470682783569,0.29579684077341023,39,0.06812912262071091
5,225,509623.2636707437,6.4944731535522715,-55.66521640448101,0.35950170226235906,37,0.11667022196341396
5,250,609587.6271657038,7.234033188217204,-59.0667789785083,0.382789328126872,33,0.1224721122993576
10,100,170844.65014359332,2.0909805177005136,-69.84774975145902,0.221019572745368,45,0.02993626172841504
10,125,267495.72702583147,3.87496579911053,-62.56875192758057,0.2777341858543386,41,0.0619313264166682
10,150,385076.7354833212,5.347609369775919,-57.841539101693726,0.3243703128930616,37,0.09245275026956067
10,175,398757.1101165824,5.489805004396153,-59.52500937013963,0.32869127657603514,39,0.09222686501835448
10,200,336063.2715144578,4.794896778812241,-65.83678553971379,0.30718628368438916,37,0.07283005601663045
10,225,668203.2580218452,7.615109805193243,-57.12694448168764,0.3945063377100254,31,0.13330154228070626
10,250,574543.7539224821,6.988999616956404,-59.271852861728334,0.3750267185990552,33,0.11791430973586421
15,100,190410.53380601274,2.5195868306908897,-69.16915530604588,0.23509600249309984,43,0.03642645077191885
15,125,368624.7889245053,5.170028638876012,-60.72091894456929,0.31885088923500066,41,0.08514411060866207
15,150,778258.7253156479,8.25095067447974,-59.45629709989654,0.4110298001012395,35,0.13877336929706133
15,175,744727.266704053,8.066899096735325,-60.21977687299091,0.4053973737876917,33,0.13395763843079594
15,200,511833.67654746067,6.512283319301249,-68.28962030225543,0.3604293280264391,33,0.09536271091385999
15,225,621152.820093604,7.311933661183034,-57.12694448168764,0.38434399283656767,31,0.12799448189508744
15,250,687728.0613326284,7.734933989416071,-62.747688215257,0.3995649081369579,29,0.1232704217385866
20,100,200917.09819745115,2.7325638399513075,-67.670966014825,0.24189440099648254,43,0.04038015120624511
20,125,344533.00224841863,4.895729620743894,-59.051067510573944,0.31017646008891747,39,0.08290670816183371
20,150,721284.4645374117,7.933428985992097,-64.56843862143387,0.40147046448639206,33,0.12286852764871643
20,175,711597.3554081386,7.877054378549553,-66.04491366370357,0.40046265028694067,29,0.11926814559345182
20,200,1210293.628094772,10.113686806169886,-68.34552842527212,0.47340464933338233,27,0.1479787637786432
20,225,861194.9479569711,8.675324075062619,-59.06677897850832,0.4259580008211033,25,0.14687315315126917
20,250,670063.0031038454,7.626667156227129,-62.747688215257014,0.3924680578034325,29,0.12154499031205289
25,100,313865.40911638224,4.518564332313324,-58.79399090733928,0.29872976642608656,43,0.07685418633061818
25,125,778132.2216126974,8.250270742511724,-60.02551119260754,0.4114737779107296,35,0.13744607215486385
25,150,678295.1753384498,7.67745824010142,-65.94127721270465,0.39371256676343824,33,0.11642871604285873
25,175,878545.7965175383,8.759115478163505,-66.07880057156805,0.42700123106885435,27,0.13255560637298128
25,200,1307291.383389571,10.442183828054574,-61.843616115558156,0.4828760933764077,27,0.1688482091432491
25,225,1900577.4441283469,12.050617758641668,-59.27185286172833,0.5202141005822377,21,0.2033109676316989
25,250,967131.4001633626,9.163564436320758,-67.75754676275648,0.4380792179062881,23,0.13524049901637808
30,100,312830.858318006,4.505231838106982,-56.328327747928995,0.29834984371280465,41,0.07998163656247766
30,125,822972.7221746958,8.484863149744859,-57.71767856861999,0.4214258959945951,33,0.1470063134929671
30,150,966685.4785055898,9.161619221239592,-61.62751134393133,0.44299632959960905,25,0.14866119078069454
30,175,927189.5603620497,8.985812917252467,-61.97331367142078,0.4332007122137367,27,0.14499487577660877
30,200,1405709.0851776248,10.752360161715568,-61.76592180828282,0.4905126542734223,25,0.17408240413039017
30,225,1683067.0850097376,11.525647569787312,-59.27185286172833,0.5050075427957499,21,0.1944539779560256
30,250,1086143.4885184024,9.654171052085946,-62.747688215257,0.46088459205036403,21,0.15385699978248044
40,100,430162.0422243891,5.79925528188856,-55.29856204939063,0.33994060931887315,35,0.10487171938953638
40,125,988305.2700660076,9.254951232549736,-58.32416060407814,0.44697500272130863,27,0.15868125896187543
40,150,1066266.235785844,9.575942639429801,-61.90819451726639,0.4555076778293548,25,0.15467972720088036
40,175,1145625.9128639463,9.880304785966953,-63.074898319545056,0.46537205337344517,21,0.15664400655728583
40,200,1984393.9418486538,12.237615360583831,-52.406908389935325,0.5245512871394591,21,0.23351149183480643
40,225,1511043.984000477,11.06201045255304,-62.74768821525699,0.48862159562605106,21,0.176293514027236
40,250,1068428.5323462896,9.584520172392907,-62.747688215257014,0.4588260239033706,21,0.1527469847098278
50,100,466451.7924782774,6.130866153259951,-55.298562049390654,0.3503894309586202,37,0.11086845527346778
50,125,1127881.3749790261,9.81405009798577,-53.4506322178124,0.46756106925644525,29,0.18360961677671686
50,150,946801.1701224467,9.073990424845292,-63.489215835429945,0.4403358219522313,25,0.1429217593168253
50,175,1429608.5706428268,10.824527738759882,-61.517434128094386,0.4916164320538245,21,0.1759587000364898
50,200,2153189.0926696924,12.592206982919985,-55.54434194445776,0.5349873588318234,19,0.22670548506113755
50,225,1244878.9780563803,10.23362766643816,-62.747688215257014,0.463932247276362,21,0.1630917083563545
50,250,663596.8328748466,7.586349566485184,-62.747688215257,0.39685200956796807,21,0.12090245524998601
