wma,sma,final_eq,cagr,max_dd,sharpe,trades,score
5,100,3412917.19904266,14.614013694441773,-43.240944869051546,0.5708358309837229,235,0.3379670295988682
5,125,4251419.685380029,15.591035650342677,-43.31440125188695,0.6016946455636797,207,0.35995039062587686
5,150,6641565.555303538,17.600683892818857,-38.34035139307698,0.6555027266132849,163,0.45906423006850605
5,175,9258348.0739145,19.119800883262684,-37.15420822080128,0.6982294118349882,155,0.5146066030969328
5,200,11975989.424323743,20.31032285408414,-36.210362674636315,0.7314125424647064,129,0.5608980787234861
5,225,11095049.270680029,19.955670361517885,-36.14671839931218,0.7111976212920653,131,0.5520741922148489
5,250,14304148.260665335,21.138970299049078,-39.467155877107416,0.7529990640765767,115,0.5356091623341563
10,100,4003578.762725655,15.323083392016535,-42.36556635068604,0.5893468524764202,203,0.36168720760576833
10,125,6191481.914732159,17.28225434271078,-41.08646950374572,0.6404183215618587,163,0.42063128206075756
10,150,9428065.89733952,19.203438253975346,-38.75733246117844,0.697013631368207,143,0.4954788432152963
10,175,10158689.003810247,19.54770747441399,-37.739535467628805,0.7059289685136874,131,0.5179636482590277
10,200,10510446.365860846,19.705047882248294,-38.87444495572765,0.7045227996222384,119,0.5068894978356472
10,225,11546368.451547246,20.140615801436024,-38.77649650227916,0.7152059849014376,107,0.5194026696107582
10,250,14664809.247125687,21.25557931301614,-42.54694524000845,0.7536676002202513,95,0.4995794455539135
15,100,4301008.265321131,15.642840346736353,-41.40885341861124,0.6015220533355025,173,0.37776559975229035
15,125,6236370.229030964,17.314994637568248,-40.63399029770208,0.6478498832827679,147,0.42612095220555885
15,150,10674676.359507168,19.776781595557956,-39.01423134363802,0.7054243954160238,137,0.5069119886372673
15,175,13158124.872087391,20.748719995816778,-39.25938043469903,0.7333317236994022,117,0.5285035007194921
15,200,11747544.398383804,20.22082603054414,-40.54516216755456,0.7117942635780118,111,0.49872352087237287
15,225,13909911.311355283,21.008226835823617,-41.770024958326644,0.7440513565872652,99,0.502949827221392
15,250,13939634.203637943,21.018207432119794,-43.80594865809001,0.75009315306981,91,0.4798025856298443
20,100,4677505.716444073,16.01840602711626,-42.35272262995519,0.6121762778027308,167,0.37821431616268225
20,125,6528254.334348936,17.522517541992165,-40.68652045373813,0.6559724802923356,135,0.43067132176898304
20,150,11840980.178537033,20.25763142283139,-41.18456385057897,0.7193855262312833,127,0.4918743706095266
20,175,12471531.54468038,20.498947707764636,-40.95904664035666,0.7216495043153537,108,0.5004742392506559
20,200,16227398.544226456,21.73088037171769,-35.57425155907736,0.7574547346991152,99,0.6108598050370703
20,225,15613944.131620385,21.549757749563312,-42.47266418418364,0.7549190753492082,87,0.5073794677939748
20,250,14960808.579463637,21.349240085738753,-43.80594865809001,0.7538238933631567,87,0.48735938245218235
25,100,4806569.60486614,16.14048543389506,-41.099630176207,0.6137994563636587,157,0.39271607468718667
25,125,8186626.967250581,18.55491408305543,-40.515512870386885,0.6818292188899573,125,0.45797060850283267
25,150,9327641.085880535,19.154125275536792,-42.08388794418999,0.6918715827465876,117,0.45514153304795046
25,175,12550374.537236009,20.52829248656756,-40.85457353091837,0.7235389282940315,99,0.502472323472718
25,200,14470533.316914778,21.193113023706655,-40.49417685413957,0.7413628205249768,93,0.5233619910350187
25,225,17401222.688170653,22.059813698363495,-42.54694524000844,0.762050073665204,79,0.5184817282162916
25,250,15309595.849392584,21.457344299069202,-43.805948658090024,0.7562393333756339,79,0.48982718001488795
30,100,4827966.105999991,16.160418960976596,-41.23662422587107,0.6150469014335386,149,0.3918948086647175
30,125,8127861.833748232,18.52191834743182,-40.96094982900374,0.6794073006221409,121,0.4521847863575852
30,150,10075749.060821382,19.50984595397147,-44.037118472247585,0.7100880177554427,106,0.44303184746900903
30,175,14765118.177128347,21.28752127421638,-39.738233679144216,0.7456524970664759,95,0.5356936960534482
30,200,13685161.02307099,20.932087844799675,-40.82908315215645,0.7403585597268918,87,0.5126759218861889
30,225,13559931.747627782,20.889140569079643,-42.54694524000844,0.7371171517994669,75,0.49096687085861157
30,250,15712901.396359308,21.579432708731506,-43.80594865809002,0.7589155302649837,77,0.4926142081104377
40,100,6457897.745378359,17.47332386583853,-40.167253145008026,0.6576862288299555,133,0.4350141594885263
40,125,8624077.27881807,18.79361156504171,-40.88690349156596,0.6934759260209633,109,0.45964868845884616
40,150,11844512.496310985,20.259017358454656,-42.592244497276624,0.7367389720070532,98,0.4756503818377083
40,175,13393403.908244777,20.831435491030724,-39.65488857585779,0.744348600764909,87,0.5253182202537587
40,200,16906154.00179526,21.92376662105786,-40.06035203985781,0.7620872607681973,79,0.5472684463492717
40,225,13929600.104239266,21.014840389472965,-43.80594865809001,0.7409803244206105,75,0.4797257229490904
40,250,15208307.046910007,21.42619652654565,-43.805948658090024,0.7612459001583987,73,0.4891161402251401
50,100,7105155.637797759,17.90767541343934,-40.373933597182635,0.6714445967304912,129,0.4435454714942358
50,125,10869728.97716127,19.860612523845035,-39.07990272055905,0.7294008824973176,100,0.5082052702602256
50,150,12439553.2560894,20.48699475806972,-40.43807787593146,0.744371146979819,92,0.5066263243501856
50,175,15052413.922604224,21.377865275082208,-40.21308109350211,0.7686630937049994,79,0.5316147058061805
50,200,18818657.831089973,22.429691691322716,-41.19678088857687,0.780944719929605,69,0.544452532638104
50,225,11915920.06540624,20.286949861744354,-43.80594865809001,0.7192050000538883,73,0.46310947447083295
50,250,9799308.378924565,19.381452634407914,-43.80594865809002,0.7185670263861138,71,0.4424388291572491
